# curated/definition-redirects.tsv: words whose definition is really another
# word's: a pure spelling variant (word<TAB>target both stand alone), or a
# form MorphoBr doesn't morphologically link to its own lemma so the normal
# lemma-fallback (build.js) never fires. Columns: word<TAB>target<TAB>reason.
lage	laje	pre-orthographic-reform spelling
zere	zerar	imperative of zerar, not linked by MorphoBr
pets	pet	plural of pet, not linked by MorphoBr
raves	rave	plural of rave, not a MorphoBr lemma at all
aptos	apto	plural of apto, not linked by MorphoBr
bikes	bike	plural of bike, not linked by MorphoBr
nerds	nerd	plural of nerd, not linked by MorphoBr
sadia	sadio	feminine of sadio, not linked by MorphoBr
zonza	zonzo	feminine of zonzo, not linked by MorphoBr
filei	filar	1st person past of filar, not linked by MorphoBr
filou	filar	3rd person past of filar, not linked by MorphoBr
filam	filar	3rd person plural present of filar, not linked by MorphoBr
reusa	reusar	3rd person present of reusar, not linked by MorphoBr
reuse	reusar	present subjunctive of reusar, not linked by MorphoBr
reuso	reusar	1st person present of reusar, not linked by MorphoBr
reusando	reusar	conjugated form of reusar, not linked by MorphoBr
reusado	reusar	conjugated form of reusar, not linked by MorphoBr
reusas	reusar	conjugated form of reusar, not linked by MorphoBr
reusamos	reusar	conjugated form of reusar, not linked by MorphoBr
reusais	reusar	conjugated form of reusar, not linked by MorphoBr
reusam	reusar	conjugated form of reusar, not linked by MorphoBr
reusava	reusar	conjugated form of reusar, not linked by MorphoBr
reusavas	reusar	conjugated form of reusar, not linked by MorphoBr
reusavamos	reusar	conjugated form of reusar, not linked by MorphoBr
reusaveis	reusar	conjugated form of reusar, not linked by MorphoBr
reusavam	reusar	conjugated form of reusar, not linked by MorphoBr
reusei	reusar	conjugated form of reusar, not linked by MorphoBr
reusaste	reusar	conjugated form of reusar, not linked by MorphoBr
reusou	reusar	conjugated form of reusar, not linked by MorphoBr
reusastes	reusar	conjugated form of reusar, not linked by MorphoBr
reusaram	reusar	conjugated form of reusar, not linked by MorphoBr
reusara	reusar	conjugated form of reusar, not linked by MorphoBr
reusaras	reusar	conjugated form of reusar, not linked by MorphoBr
reusaramos	reusar	conjugated form of reusar, not linked by MorphoBr
reusareis	reusar	conjugated form of reusar, not linked by MorphoBr
reusarei	reusar	conjugated form of reusar, not linked by MorphoBr
