# curated/definitions.tsv: hand-written definitions for senses Wiktionary is
# missing, whether it has no Portuguese-language coverage for the word at all
# (loanwords, ethnonyms, informal abbreviations, dialectal/archaic terms, ...)
# or just an incomplete one (e.g. "pet": Wiktionary only has the "PET" plastic
# sense, this file adds the "animal de estimação" one; both are kept, merged
# in build.js). Columns: word<TAB>pos<TAB>gloss<TAB>[accent], one row per
# gloss (a word with multiple senses/pos gets multiple rows). pos is
# free-form: it only affects display order (see POS_PRIORITY in build.js),
# not lookup. The optional 4th column is the word's accented/cased spelling
# when it differs from the plain board word (e.g. "carre"'s only sense is
# "carré") — see resolveOwnDefs in build.js.
abr	abbrev	abreviatura de "abril", quarto mês do ano
ace	adj	relativo a ou que não sente atração sexual; assexual (abreviação do inglês "asexual", usada sobretudo na comunidade LGBTQIA+)
aedes	noun	gênero de mosquitos que inclui espécies transmissoras da dengue, zika e chikungunya
aftoso	adj	relativo às aftas; caracterizado pela presença de aftas
ago	abbrev	abreviatura de "agosto", oitavo mês do ano
agrar	verb	converter em agro
agrar	verb	aplanar (terras) para semeadura ou cultivo
alelo	noun	cada uma das formas alternativas de um gene, situadas no mesmo lócus em cromossomos homólogos
aleta	noun	peça ou estrutura saliente e achatada usada para estabilizar, guiar ou resfriar algo (ex.: aleta de foguete, aleta de radiador)
alhea	verb	forma do infinitivo de "alhear" (tornar alheio, afastar) combinada a um pronome oblíquo (ex.: "alheá-lo")
altea	verb	forma do infinitivo de "altear" (tornar mais alto, elevar) combinada a um pronome oblíquo (ex.: "alteá-lo")
amina	noun	composto orgânico derivado da amônia pela substituição de átomos de hidrogênio por radicais orgânicos
angra	noun	pequena baía ou enseada; recorte da costa onde o mar penetra
antraz	noun	(medicina) grave infecção de pele e tecidos subcutâneos causada pela bactéria Bacillus anthracis (carbúnculo), com lesões bolhosas, furúnculos e escara negra, podendo ser fatal se inalada ou ingerida; também infecção estafilocócica profunda, geralmente na nuca ou nas costas, que forma abscessos ou furúnculos múltiplos
antraz	noun	(zoologia) nome comum de insetos dípteros da família Bombyliidae (gênero Anthrax), moscas parasitas
apto	adj	que tem aptidão ou capacidade para algo; capaz, apropriado
aridez	noun	qualidade do que é árido; falta de umidade ou de vegetação; secura extrema
arrea	verb	forma do infinitivo de "arrear" (colocar arreios em um animal) combinada a um pronome oblíquo (ex.: "arreá-lo")
assea	verb	forma do infinitivo de "assear" (tornar limpo, arrumar) combinada a um pronome oblíquo (ex.: "asseá-lo")
astra	noun	(latim) estrelas, astros (plural de astrum, como em "ad astra")
atritar	verb	causar atrito ou fricção entre superfícies; friccionar; (fig.) entrar em conflito ou desentendimento
aulo	noun	instrumento musical de sopro da Grécia Antiga, semelhante a uma flauta dupla
aure	verb	3ª pessoa do singular do presente do indicativo (e 2ª do imperativo) de "aurir"; foge de maneira alucinada
aures	noun	(latim) orelhas, ouvidos (plural de auris)
aurir	verb	fugir alucinadamente (regional, Bairrada)
avila	noun	cidade e província da Espanha (Ávila), na região de Castela e Leão
axial	adj	relativo a um eixo; que está situado ao longo de um eixo
bagda	noun	forma sem acento de "Bagdá", capital do Iraque
balea	verb	forma do infinitivo de "balear" (atingir com tiro de arma de fogo) combinada a um pronome oblíquo (ex.: "baleá-lo")
banner	noun	imagem ou faixa, geralmente retangular, usada para divulgação ou propaganda, sobretudo em sites e redes sociais; termo inglês
baque	noun	som seco e forte produzido por uma queda ou pancada; abalo, choque emocional repentino
barbie	noun	boneca fabricada pela empresa americana Mattel, um dos brinquedos mais populares e reconhecidos do mundo desde 1959
baroa	noun	feminino de "barão"
basea	verb	forma do infinitivo de "basear" (fundamentar, dar base a) combinada a um pronome oblíquo (ex.: "baseá-lo")
basti	verb	2ª pessoa do plural do imperativo, e 1ª pessoa do singular do pretérito perfeito do indicativo de "bastir"
bastir	verb	(arcaico) construir, armar, preparar, equipar
baza	noun	cidade da Espanha, na província de Granada
belgo	adj	relativo à Bélgica (usado sobretudo como prefixo, ex.: belgo-brasileiro)
bios	abbrev	sigla do inglês "basic input/output system", firmware responsável por inicializar o hardware de um computador
bivolt	adj	que funciona tanto em voltagem de 110V quanto de 220V, sem necessidade de ajuste; diz-se de aparelho elétrico compatível com duas tensões
blush	noun	produto de maquiagem usado para dar cor às bochechas
bmx	abbrev	sigla do inglês "bicycle motocross", modalidade de ciclismo praticada em pistas de terra com obstáculos
bobea	verb	forma do infinitivo de "bobear" (agir de forma tola ou descuidada) combinada a um pronome oblíquo
bocar	verb	pegar ou segurar com a boca; abocanhar
bocio	noun	aumento do volume da glândula tireoide, geralmente visível como um inchaço no pescoço
body	noun	peça de roupa íntima feminina que cobre o tronco, geralmente fechada na virilha
boldo	noun	planta medicinal cujas folhas são usadas em chá para problemas digestivos e hepáticos
boxea	verb	forma do infinitivo de "boxear" (praticar boxe, lutar) combinada a um pronome oblíquo (ex.: "boxeá-lo")
bugs	noun	plural de "bug"; erros ou falhas de funcionamento em um programa de computador
bye	interj	expressão inglesa informal de despedida; tchau
cariar	verb	apodrecer, ser atingido por cárie (dente)
cario	verb	1ª pessoa do singular do presente do indicativo de "cariar"
carre	noun	conjunto das costelas de animais de corte, como porco, boi etc.	carré
carre	noun	prato feito com essa carne, geralmente partida em bifes com osso	carré
cerejo	noun	cor da cereja; (regionalismo, como em Trás-os-Montes) tempo das cerejas
chakra	noun	cada um dos centros de energia do corpo, segundo tradições do hinduísmo e do yoga
