# curated/forms.tsv: per-form exceptions to the morphology rules. Columns: form<TAB>tier<TAB>reason
# Keep this file small: prefer a lemmas.tsv decision or a rule fix when one applies.
abisma	2	migrated: lemma not in game
abismas	2	migrated: lemma not in game
abluas	3	migrated: lemma not in game
abluis	3	migrated: lemma not in game
aborta	2	migrated: lemma not in game
abortas	2	migrated: lemma not in game
acentuas	3	migrated: lemma not in game
acentuo	3	migrated: lemma not in game
acreditais	3	arcaico/incomum na fala corrente (2a pessoa plural ou variante nao-padrao)
acreditareis	3	arcaico/incomum na fala corrente (2a pessoa plural ou variante nao-padrao)
acreditasseis	3	arcaico/incomum na fala corrente (2a pessoa plural ou variante nao-padrao)
aditas	3	migrated: lemma not in game
adites	3	migrated: lemma not in game
advertes	2	migrated: lemma not in game
afanas	3	migrated: lemma not in game
afanes	3	migrated: lemma not in game
afinca	2	migrated: lemma not in game
afincas	2	migrated: lemma not in game
afobas	3	migrated: lemma not in game
afobes	3	migrated: lemma not in game
afofas	3	migrated: lemma not in game
afofes	3	migrated: lemma not in game
aforas	2	migrated: lemma not in game
afores	3	migrated: lemma not in game
afronto	2	migrated: lemma not in game
agasalha	3	migrated: lemma not in game
agasalhas	3	migrated: lemma not in game
age	3	migrated: explicit t1-related decision
agencio	2	migrated: lemma not in game
agoura	2	migrated: lemma not in game
agouras	2	migrated: lemma not in game
agras	3	agro nao flexiona no feminino (quirk MorphoBr)
agulho	2	migrated: lemma not in game
aldea	3	migrated: explicit t1-related decision
alenta	2	migrated: lemma not in game
alentas	2	migrated: lemma not in game
algemo	2	migrated: lemma not in game
alocas	3	migrated: lemma not in game
amais	3	arcaico/incomum na fala corrente (2a pessoa plural ou variante nao-padrao)
amareis	3	arcaico/incomum na fala corrente (2a pessoa plural ou variante nao-padrao)
amasseis	3	arcaico/incomum na fala corrente (2a pessoa plural ou variante nao-padrao)
amastes	3	arcaico/incomum na fala corrente (2a pessoa plural ou variante nao-padrao)
amimas	3	migrated: lemma not in game
amimes	3	migrated: lemma not in game
amostro	2	migrated: lemma not in game
anelas	3	migrated: lemma not in game
aneles	3	migrated: lemma not in game
angus	2	migrated: lemma not in game
angustio	2	migrated: lemma not in game
anistio	2	migrated: lemma not in game
anjinhos	2	migrated: lemma not in game
antecedes	3	migrated: lemma not in game
aparelha	2	migrated: lemma not in game
aparelhas	2	migrated: lemma not in game
aparentas	2	migrated: lemma not in game
aparento	2	migrated: lemma not in game
apelida	2	migrated: lemma not in game
apelidas	2	migrated: lemma not in game
apenes	3	migrated: lemma not in game
apeteces	2	migrated: lemma not in game
apostilo	2	migrated: lemma not in game
arejas	3	migrated: lemma not in game
arejes	3	migrated: lemma not in game
arguas	3	migrated: lemma not in game
arguis	3	migrated: lemma not in game
arpoas	3	migrated: lemma not in game
arquiva	2	migrated: lemma not in game
arquivas	2	migrated: lemma not in game
arranhas	3	migrated: lemma not in game
arranho	3	migrated: lemma not in game
arrima	2	migrated: lemma not in game
arrimas	2	migrated: lemma not in game
arrobo	2	migrated: lemma not in game
arrocha	2	migrated: lemma not in game
arrochas	2	migrated: lemma not in game
arrombo	2	migrated: lemma not in game
asfalta	2	migrated: lemma not in game
asfaltas	2	migrated: lemma not in game
asfixio	2	migrated: lemma not in game
asilas	3	migrated: lemma not in game
asiles	3	migrated: lemma not in game
assedia	2	migrated: lemma not in game
assedias	2	migrated: lemma not in game
asseia	2	migrated: lemma not in game
asseias	2	migrated: lemma not in game
assobia	2	migrated: lemma not in game
assobias	2	migrated: lemma not in game
atrita	2	migrated: lemma not in game
atritas	2	migrated: lemma not in game
aurais	3	migrated: lemma not in game
aureolo	2	migrated: lemma not in game
autuas	3	migrated: lemma not in game
autues	3	migrated: lemma not in game
avario	2	migrated: lemma not in game
avieres	3	migrated: lemma not in game
avimos	3	migrated: lemma not in game
aviras	3	migrated: lemma not in game
azulas	3	migrated: lemma not in game
azuleja	2	migrated: lemma not in game
azulejas	2	migrated: lemma not in game
azules	3	migrated: lemma not in game
bagunco	2	migrated: lemma not in game
baixinha	2	migrated: lemma not in game
baixinhas	2	migrated: lemma not in game
baixinhos	2	migrated: lemma not in game
baleio	2	migrated: lemma not in game
balizo	2	migrated: lemma not in game
barrico	2	migrated: lemma not in game
barzinhos	3	migrated: lemma not in game
batalho	2	migrated: lemma not in game
beijinhos	2	migrated: lemma not in game
bichinha	2	migrated: lemma not in game
